progress_id,stage,task_name,status,goal,current_conclusion,next_step,updated_at
P-20260316-013,benchmark_framework,"定向修复 cec2017 全 Inf：objective runtime_dir 选择",done,"消除 cec2017 因 input_data 目录错误导致的 objective 退化为 Inf 问题","已在 rac_build_suite_api 中新增 runtime_dir 判定（优先使用含有效 input_data 的 mex 目录）并将 objective 评估目录从固定 suite_dir 改为 runtime_dir；验证发现 suite input_data=0 文件、mex input_data=328 文件；quick 批次 cec2017_inf_fix_quick_20260316_v1（F1,maxFEs=100）中 BBO_BASE/BBO_IMPROVED_V3/SBO best_score 均为有限值，run_manifest 状态正常","下一步在后续 smoke/formal 中持续观察 cec2017 收敛统计，确认修复在长预算下稳定","2026-03-16 17:40:00"
P-20260316-014,benchmark_framework,"补跑标准 smoke + cec2017 修复前后指标对照导出",done,"在与当前配置一致的标准 smoke 上验证修复效果，并形成可复用对照产物","已执行 plot_split_smoke_20260316_check7_postfix（cec2017+cec2022）；两套件 run_manifest 状态符合预期（BBO_BASE/SBO completed，BBO_IMPROVED_V3 stopped_at_budget）；图文件正常落盘；完成 check6（修复前）vs check7（修复后）对照并导出 results/cec2017/compare_check6_vs_check7_postfix.csv，cec2017 三算法 best/mean 从 Inf 变为有限值","下一步可选：在 formal 预算与多次 runs 下补稳健性统计（mean/std/median + Wilcoxon/Friedman）","2026-03-16 17:55:00"
P-20260317-001,benchmark_framework,"全量 formal 批次执行（两套件全函数，runs=5）",running,"在正式协议下完成 cec2017/cec2022 全函数多次运行，为论文统计与显著性检验提供完整证据","已通过 run_main_entry 启动 formal_full_20260317_rerun1；结果目录与 run_log 已创建，且出现首条完成记录：BBO_BASE on F1 run 1/5（used_FEs=3000, t=396.7127s），证明任务已真实进入计算阶段","持续后台运行并监控日志增量；待 summary.csv/run_manifest.csv 完整后汇总 mean/std/median 与显著性文件","2026-03-17 12:22:00"
P-20260317-002,benchmark_framework,"formal 性能回退修复：移除每 FE 目录切换，改为 suite 级 runtime_dir 切换",done,"在保持协议与 objective 正确性的前提下修复运行性能异常，恢复 formal 可执行效率","已修改 rac_build_suite_api/run_all_compare/rac_plot_algorithm_behavior：get_function 返回 raw_fobj，不再每 FE 执行 cd+addpath；suite 批次开始时一次性切换到 runtime_dir；行为图 surface 采样使用 call_in_dir_local 一次切换；perf_fix_smoke_20260317 已完成并生成 raw_runs+summary+manifest","终止旧慢速 formal 批次并基于修复后代码重启全量 formal，确保统计口径一致","2026-03-17 13:12:00"
P-20260317-003,benchmark_framework,"全量 formal 重启（修复后口径）",running,"基于修复后的执行逻辑完成 cec2017+cec2022 全量正式批次，形成单一可比证据链","已终止旧批次 formal_full_20260317_rerun1 并重启 formal_full_20260317_rerun2；新日志显示 BBO_BASE F1 run 1/5 用时由 396.7127s 降为 0.0342s，raw_runs 持续增长","持续监控 rerun2 至全部 suite 完成，并汇总 summary/run_manifest/wilcoxon/friedman","2026-03-17 13:15:00"
P-20260317-004,benchmark_framework,"验收核查：功能正确性 + 性能 + 公平性",done,"对当前改法进行证据化验收，确认两套件可运行、行为图可生成、性能恢复且协议不变","acceptance_check_20260317 显示 cec2017/cec2022 均 completed 且无 input_data/runtime_dir 错误；run_manifest.used_FEs=3000；overview contour 图在两套件均生成；profile 中 cd/addpath 不再主导耗时；curve_end_equals_best=1","继续等待 formal_full_20260317_rerun2 全量结束并输出最终汇总","2026-03-17 13:20:00"
P-20260317-005,documentation,"结构治理复盘 README 优化版输出",done,"将“昨天到现在”的结构调整从口头复盘沉淀为项目级长期治理文档模板","已在 README 新增治理复盘专节：阶段化过程、根因归类、关键结构改变、触发与验收流程、制度化动作；内容明确区分治理建议与已验证事实，并绑定科研公平性/复现性约束","后续每次结构变更按同模板更新 README 复盘节与 tracking 台账，保持文档与代码同频","2026-03-17 13:35:00"
P-20260317-006,documentation,"copilot-instructions 反叠层治理加固",done,"将本轮复盘沉淀为 AI 协作硬约束，防止后续继续“越叠越高”与性能/路径类棘手回退","已更新 `.github/copilot-instructions.md`：新增反叠层触发门禁、性能回退防线、runtime_dir/cwd 规范、结构改动验收清单、台账强制同步、工程治理与算法创新区分规则","后续所有结构类任务按新门禁执行；若触发门禁，先给收敛方案再编码","2026-03-17 13:45:00"
P-20260317-007,benchmark_framework,"全量 formal 高预算批次（maxFEs=30000）",running,"在保持协议一致前提下执行高预算正式批次，提升结果稳健性与论文统计证据密度","已启动 formal_full_fes30000_20260317；run_log 显示 Primary budget maxFEs=30000 且 cec2017 F1 已连续完成多次 run，used_FEs=30000/30000","持续监控到 cec2017+cec2022 全部完成，并汇总 summary/run_manifest/wilcoxon/friedman","2026-03-17 15:43:00"
P-20260317-008,benchmark_framework,"全量 formal 超高预算批次（maxFEs=300000）",running,"在统一协议下运行超高预算正式批次，观察长预算表现并增强论文统计证据","已启动 formal_full_fes300000_20260317；run_log 显示 Primary budget maxFEs=300000，cec2017 F1 已完成 run 且 used_FEs=300000/300000","持续监控两套件完成，完成后汇总 summary/run_manifest/wilcoxon/friedman 与关键对比指标","2026-03-17 15:57:00"
P-20260317-009,repo_hygiene,"results 目录按日期清理（仅保留 3.17 及以后）",done,"收敛结果目录体量，保留当前正式批次证据并提升后续检索效率","已按候选清单删除 pre-2026-03-17 路径 67 项；清理后 cec2017 保留 7 个 3.17+ 批次目录，cec2022 保留 4 个 3.17+ 批次目录；删除清单见 temp/scratch/results_cleanup_deleted_20260317.txt","后续按日期阈值+实验名双规则做增量清理，并在每次清理后同步 decision_log 与 progress 台账","2026-03-17 16:20:00"
P-20260317-010,improved_algorithm,"Task C：V1 主干三模块实现（SEL+GDP+ASE）与 smoke 验证",done,"在不改 benchmark 协议前提下完成 V1 主干可控模块化改进并形成可复现实验证据","已新增 v1_module_config_factory/selective_elite_learning/gated_directional_push/anti_stagnation_escape 并接入 BBO_improved_v1；已完成 cec2017 smoke（F=[1,5,13,24,30], runs=5, maxFEs=3000）与三项开关检查批次","执行 V1 模块级 reduced ablation（保持 smoke 协议）并观察 F1 保护、F13/F24/F30 mean 与 std 走势后再决定 formal","2026-03-17 17:10:00"
P-20260317-011,ablation,"Task C：30000FE 两轮验证（定向验证+小型消融矩阵）",done,"在统一预算下回答模块留存与触发策略：F1恢复、关键函数保持、std可控与模块归因","两轮均已完成并产出报告；round1 显示 SEL 单独启用会显著恶化 F1，但 SEL+GDP 可恢复并改善 F1，且 F13/F24/F30 保持改善；round2 显示 GDP 后置于 SEL 具有正向贡献，ESC 收益较弱且场景依赖","固定 SEL+GDP 主干进入参数敏感性，扫描 ESC 条件触发阈值与触发频率，并提升 runs 验证稳定性","2026-03-17 18:40:00"
P-20260317-012,ablation,"Task C：round3 过程触发 ESC 验证（30000FE,runs=8）",done,"按 Q1/Q2/Q3 验证 SEL+GDP 稳定性、关键函数可重复性与 ESC 条件触发收益区间","已完成 plain/sel/gdp_only/sel_gdp/sel_gdp_esc_cond 矩阵实跑（F=[1,5,13,18,24,26,30]）；Q1: F1 上 sel_gdp 相对 plain 显著改善且 std 降低；Q2: F13/F24/F30 中仅 F24 可重复改善，F13/F30 仍不稳；Q3: ESC 条件触发在多数函数有均值收益但在 F1 有轻微副作用且部分函数 std 上升","执行 round3.1 阈值敏感性：调 escape_stage_progress/diversity/success 与 target_scope，围绕 F1/F13/F24/F30 做 5-10 runs 复核","2026-03-17 19:20:00"
P-20260317-013,governance,"阶段收口机制落地：定型冻结+过程归档 achieve",done,"将每阶段关键结果保存与过程旧版本归档固化为可执行流程","已新增 finalize_stage_and_archive.m 与 README 规范；脚本支持 stable_paths 冻结复制、process_paths 迁移 achieve，并自动生成 stage_manifest.csv/stage_manifest.mat/stage_report.md；stage_freeze_smoke_20260317 验证通过","后续每阶段结束固定执行 finalize_stage_and_archive 并同步 tracking 台账","2026-03-17 22:37:39"
P-20260317-014,prototype_framework,"多路线最小原型统一 smoke 框架（route_a/b/c/d）",done,"以统一接口快速比较新破局点，避免多创新混线并先 smoke 决策","已完成路线注册、单文件原型实现、统一 smoke 入口与统一汇总导出；按 cec2017 + F=[1,5,13,24,30,18,26] + maxFEs=30000 + runs=5 实跑并落盘 compare/recommendation/summary","round2 仅推进稳健候选 ROUTE_A 与 ROUTE_D，继续做参数敏感性且保持协议固定","2026-03-17 23:05:00"
P-20260318-001,paper_support,"每次结果自动导出改进算法说明文档",done,"让每个实验结果目录都包含改进点详细解释，支撑复现与论文写作","已新增 export_improved_algorithm_notes_md 并接入 run_experiment；每次 suite 结果自动生成 improved_algorithm_notes.md（核心思想、改进点、收益风险、公平性不变项）；prototype_routes_smoke_20260318_notes 实跑验证通过","将 improved_algorithm_notes.md 纳入阶段收口固定资产并持续补充新算法说明模板","2026-03-18 19:58:00"
P-20260318-002,prototype_framework,"三路线最小对比骨架 V2（baseline + A/B/C 占位）",done,"在不改协议前提下搭好三路线统一 smoke 骨架，支持后续逐条接入内核","已新增 run_prototype_route_compare_smoke 与 prototype_route_registry；已接入 ROUTE_A/B/C 新别名与占位算法入口并实跑验证（results/benchmark/research_pipeline/cec2017/prototype_route_compare_smoke_20260318_2115_rerun）；已自动导出 summary/rank/raw_runs/logs 与 route_registry/connectivity/compare/summary_md","下一轮优先实现 Route A 差分主生成器内核，Route B/C 暂维持占位并继续同协议对照","2026-03-18 21:15:00"
P-20260318-003,prototype_framework,"Route A：BBO + Differential Main Generator 主生成器增强实现",done,"在保持 BBO 主框架身份下，将差分变异+交叉提升为与 BBO 并行竞争的主候选生成链路，并接入统一 smoke","已将 BBO_route_a_differential_generator_bbo 实现为双主线更新（BBO trial + DE trial 并行生成、先双候选竞争再与当前个体竞争）；新增最小参数 F_max/F_min、CR、beta_best；ROUTE_A 在 registry 中标记为 implemented；已完成 smoke：results/benchmark/research_pipeline/cec2017/prototype_routeA_main_generator_smoke_20260318（runs=5,maxFEs=30000）并生成 summary/prototype_route_compare/improved_algorithm_notes","下一轮仅针对 Route A 做稳定性增强，优先压低 F30 的 mean/std（保持协议不变，不引入 Route B/C 机制）","2026-03-18 22:05:00"
P-20260318-004,prototype_framework,"Route A：固定CR vs CR调度 runs=5 同协议对照",done,"在不引入 Route B/C 思想前提下，评估固定 CR 与后期收缩 CR 调度对 F30 与 overall std 的影响，并执行结果收敛治理","已在同协议下完成 routeA_old_fixedCR_runs5_20260318 与 routeA_new_crschedule_runs5_20260318 两批次；对照显示 Route A 的 F30(mean/std) 与 overall std_over_funcs 一致；已按要求删除旧批次，仅保留 routeA_new_crschedule_runs5_20260318","下一轮仅做 Route A 单点参数微调（优先调整 CR 收缩起点或 CR_min）后再对比 runs=5","2026-03-18 22:20:00"
P-20260318-005,prototype_framework,"Route B：Dual-Subpopulation Cooperative Evolution 独立实现",done,"在不混入 Route A/Route C 核心思想前提下，验证双子群分工 + 周期迁移对 mixed/composition 稳定性的影响","已将 BBO_route_b_dual_population_bbo 实现为探索组/开发组双子群协同演化（分工不同、迁移机制明确）；Route B 在 registry 中标记为 implemented；已完成 smoke：results/benchmark/research_pipeline/cec2017/routeB_dualsubpop_smoke_20260318（runs=5,maxFEs=30000）并生成 summary/prototype_route_compare/improved_algorithm_notes","下一轮优先优化 Route B 的稳定性：控制探索组过冲并降低 F1 主导导致的 overall std 放大","2026-03-18 22:35:00"
P-20260318-006,prototype_framework,"Route C：Success-History Strategy Pool 独立实现",done,"在不混入 Route A/Route B 核心思想前提下，验证成功历史驱动的策略池调度是否具备可运行、可解释、可消融能力","已将 BBO_route_c_success_history_pool_bbo 实现为 3 策略池（精英收缩/差分漂移/局部高斯精修）+ 真实成功历史记分（成功率与相对改进幅度）+ 指数平滑权重更新；Route C 在 registry 中标记为 implemented；已完成 smoke：results/benchmark/research_pipeline/cec2017/routeC_success_history_smoke_20260318（runs=5,maxFEs=30000）并生成 summary/prototype_route_compare/prototype_route_connectivity/improved_algorithm_notes","下一轮优先稳定 Route C：限制早期探索强度与权重波动，降低 F1/F30 对 overall std 的放大效应","2026-03-18 22:55:00"
P-20260318-007,prototype_framework,"ABC 对照：300000 FE 同协议批次",done,"在高预算下对 baseline + Route A/B/C 做同协议对照，检验路线在长预算下的相对排序稳定性","已完成 routeABC_compare_fes300000_20260318（cec2017, F=[1,5,13,24,30,18,26], runs=5, dim=10, pop=30, maxFEs=300000）实跑并落盘全套产物；prototype_route_compare 显示 Route A win_count=4，Route B=1，Route C=1，baseline=1","下一轮优先基于该批次做函数级剖析（尤其 F1/F30）并对 Route B/C 做单点稳健化迭代","2026-03-18 23:15:00"
P-20260318-008,prototype_framework,"cec2022：ABC 对照 300000 FE 批次",done,"在 cec2022 套件下完成 baseline + Route A/B/C 的高预算同协议运行，形成可复核统计产物","已完成 routeABC_compare_cec2022_fes300000_20260318（cec2022, func_ids=1:12, runs=5, dim=10, pop=30, maxFEs=300000）实跑并落盘 summary/run_manifest/rank_table/wilcoxon/friedman/improved_algorithm_notes","下一轮可直接对 cec2022 的函数分组（单峰/多峰/混合/组合）做 Route A/B/C 的收益-风险归因","2026-03-18 23:25:00"
P-20260318-009,prototype_framework,"cec2022：强算法 + ABC 对照 300000 FE 批次",done,"在 cec2022 下将强对比算法并入 baseline + Route A/B/C，进行高预算同协议横向对照","已完成 routeABC_plus_strong_cec2022_fes300000_20260318（algorithms=BBO_BASE, ROUTE_A/B/C, SBO, MGO, PLO；func_ids=1:12, runs=5, dim=10, pop=30, maxFEs=300000）实跑并落盘 summary/rank_table/run_manifest/wilcoxon/friedman/improved_algorithm_notes","下一轮基于 rank_table 与 summary 提炼强算法 vs Route A/B/C 的函数类别优势区间与论文可用图表","2026-03-18 23:35:00"
P-20260319-001,governance,"BC 算法归档 + 无 README 结果归档",done,"按治理规则收敛活动算法面并清理无 README 结果目录，提升活动区可维护性与可追溯性","已将 Route B/C 实核代码快照归档到 archive/achieve/unused_versions/bc_algorithms_20260319_143139；活动位 Route B/C 回退为占位实现并在 registry 标记 placeholder；按 config.mat+summary.csv 且缺 README.md 规则归档 30 个实验根目录到 archive/achieve/results_no_readme/20260319_143139","如需复活 Route B/C，按归档快照回迁并在同协议下补跑 smoke 验证后再恢复 implemented 状态","2026-03-19 14:40:00"
P-20260319-002,prototype_framework,"Route A family 五版本实现 + 统一 smoke 对照",done,"在 active 结构仅围绕 Route A 构建 A_current/A_pbest/A_gated/A_safe/A_pbest_gated，并在同协议下完成最小可比验证","已新增五版本实现与 route_a_family_registry、run_route_a_family_smoke 统一入口；按 cec2017 F=[2,10,11,30], runs=5, maxFEs=30000 实跑 routeA_family_smoke_20260319_v2；compare 显示 A_CURRENT 与 A_SAFE 稳定，A_PBEST 在 F30 方差风险显著","下一轮优先沿 A_SAFE 做保守增强并为 A_PBEST 增加针对 F30 的防爆保护（保持策略边界与协议不变）","2026-03-19 15:05:00"
P-20260319-003,prototype_framework,"Route A family：30000/300000 双配置爆发检查",done,"在不改协议前提下复跑 FE=30000 与 FE=300000，验证五版本在 F30 上的爆发是否改善","已完成 routeA_family_smoke_fes30000_20260319 与 routeA_family_smoke_fes300000_20260319 两批次；F30 显示爆发风险随 FE 在版本间转移：30000 下 A_pbest 爆发，300000 下 A_current/A_safe 爆发，A_pbest 反而收敛","下一轮优先做阶段化诊断（候选接受统计+收敛曲线切片）并对 A_safe 增加后期防爆门限","2026-03-19 15:20:00"
P-20260319-004,prototype_framework,"Route A_safe：后期防爆门限 v1（单策略）+ FE300000 复跑",done,"仅在 A_safe 内加入后期防爆门限，验证 F30/std 能否压住且不影响同批其他版本","已在 BBO_route_a_safe_bbo 增加 late-stage guard（F/扰动缩放+步长上限收紧），并完成 routeA_family_smoke_fes300000_20260319_asafe_guard_v1；F30 上 ROUTE_A_SAFE_BBO mean/std/worst 恶化（166874.618→253119.801, 365431.352→558258.377, 820578.087→1251762.743），其余版本 F30 指标不变","下一轮改为条件触发+分位阈值门限（仅异常大步触发），保持同协议复跑","2026-03-19 15:45:00"
P-20260319-005,prototype_framework,"Route A_pbest：FE30000 runs=30 复跑（F30 爆炸巧合性复检）",done,"将 FE30000 的 runs 从 5 提升到 30，判断 A_pbest 在 F30 的爆炸是否为偶发巧合","已完成 routeA_family_smoke_fes30000_runs30_20260319；F30 上 ROUTE_A_PBEST_BBO 为 mean=126890.820,std=327174.624,worst=1251762.743；run-level 显示 4/30 >5e5、1/30 >1e6（p90≈8.20578e5）","结论为非单次巧合而是低频重尾；下一轮在 A_pbest 单策略内做异常大步条件抑制并同协议复跑","2026-03-19 16:05:00"
P-20260319-006,prototype_framework,"Route A 三方向探索与对比（Direction1/2/3）",done,"按三条方向独立实现并对比：Direction1 CURRENT+late PBEST，Direction2 SAFE 保守增强，Direction3 预算自适应","已新增 BBO_route_a_late_pbest_bbo/BBO_route_a_safe_conservative_bbo/BBO_route_a_budget_adaptive_bbo 与 run_route_a_three_directions_compare；完成 routeA_three_directions_fes30000_runs30_20260319 与 routeA_three_directions_fes300000_runs5_20260319。30k/F30 仅 SAFE_CONSERVATIVE 压住爆炸（mean=6549,std=5931,>5e5=0/30）；300k/F30 中 LATE_PBEST 与 BUDGET_ADAPTIVE 显著优于 CURRENT（均值约3.4e3）","下一轮优化 Direction3 低预算抑制策略（更晚触发+更低概率+更小elite覆盖），在保持300k优势前提下压住30k重尾","2026-03-19 16:40:00"
